clip_dir,clip_1,clip_2,speaker_count,speakers
data\clips_aug\overlay_55001.wav,data\clips_aug\overlay_44975.wav,data\clips_libricss\OV10_session2_clip564.wav,4,"['2961', '2830', '5683', '1188']"
data\clips_aug\overlay_55002.wav,data\clips_aug\overlay_26160.wav,data\clips_libricss\OV20_session7_clip237.wav,4,"['1089', '121', '8463', '6930']"
data\clips_aug\overlay_55003.wav,data\clips_aug\overlay_35448.wav,data\clips_libricss\OV20_session8_clip362.wav,4,"['260', '1284', '4507', '1995']"
data\clips_aug\overlay_55004.wav,data\clips_aug\overlay_40474.wav,data\clips_libricss\0S_session2_clip566.wav,4,"['1580', '2961', '8224', '5105']"
data\clips_aug\overlay_55005.wav,data\clips_aug\overlay_41240.wav,data\clips_libricss\OV10_session6_clip77.wav,4,"['8224', '5639', '7127', '1320']"
data\clips_aug\overlay_55006.wav,data\clips_aug\overlay_42416.wav,data\clips_libricss\OV30_session8_clip24.wav,4,"['3729', '4970', '4507', '1188']"
data\clips_aug\overlay_55007.wav,data\clips_aug\overlay_29013.wav,data\clips_libricss\OV10_session5_clip47.wav,4,"['7021', '3729', '672', '4970']"
data\clips_aug\overlay_55008.wav,data\clips_aug\overlay_35779.wav,data\clips_libricss\OV10_session5_clip284.wav,4,"['8230', '8224', '2300', '6930']"
data\clips_aug\overlay_55009.wav,data\clips_aug\overlay_24881.wav,data\clips_libricss\OV10_session2_clip482.wav,4,"['6829', '8555', '61', '3570']"
data\clips_aug\overlay_55010.wav,data\clips_aug\overlay_26621.wav,data\clips_libricss\OV20_session7_clip424.wav,4,"['8230', '7021', '5105', '4970']"
data\clips_aug\overlay_55011.wav,data\clips_aug\overlay_20084.wav,data\clips_libricss\OV20_session2_clip580.wav,4,"['3575', '121', '1188', '5639']"
data\clips_aug\overlay_55012.wav,data\clips_aug\overlay_40769.wav,data\clips_libricss\0L_session6_clip189.wav,4,"['1320', '8463', '4077', '8455']"
data\clips_aug\overlay_55013.wav,data\clips_aug\overlay_39086.wav,data\clips_libricss\0S_session4_clip482.wav,4,"['8230', '3575', '1995', '2961']"
data\clips_aug\overlay_55014.wav,data\clips_aug\overlay_35564.wav,data\clips_libricss\0L_session9_clip365.wav,4,"['121', '4446', '6930', '908']"
data\clips_aug\overlay_55015.wav,data\clips_aug\overlay_42128.wav,data\clips_libricss\0S_session2_clip175.wav,4,"['4077', '5105', '4970', '8224']"
data\clips_aug\overlay_55016.wav,data\clips_aug\overlay_30496.wav,data\clips_libricss\OV30_session2_clip164.wav,4,"['2961', '1089', '7729', '8224']"
data\clips_aug\overlay_55017.wav,data\clips_aug\overlay_25085.wav,data\clips_libricss\OV10_session0_clip155.wav,4,"['2300', '4992', '1188', '8455']"
data\clips_aug\overlay_55018.wav,data\clips_aug\overlay_26200.wav,data\clips_libricss\OV30_session9_clip590.wav,4,"['1089', '672', '8555', '7127']"
data\clips_aug\overlay_55019.wav,data\clips_aug\overlay_39218.wav,data\clips_libricss\OV30_session0_clip62.wav,4,"['3570', '2830', '8463', '2961']"
data\clips_aug\overlay_55020.wav,data\clips_aug\overlay_44267.wav,data\clips_libricss\0L_session3_clip369.wav,4,"['6930', '3575', '8224', '2830']"
data\clips_aug\overlay_55021.wav,data\clips_aug\overlay_38314.wav,data\clips_libricss\OV10_session2_clip95.wav,4,"['4077', '7176', '4507', '3729']"
data\clips_aug\overlay_55022.wav,data\clips_aug\overlay_23262.wav,data\clips_libricss\0S_session3_clip206.wav,4,"['1320', '3575', '8455', '61']"
data\clips_aug\overlay_55023.wav,data\clips_aug\overlay_25331.wav,data\clips_libricss\OV40_session9_clip539.wav,4,"['2300', '4970', '1188', '8224']"
data\clips_aug\overlay_55024.wav,data\clips_aug\overlay_39518.wav,data\clips_libricss\OV40_session9_clip361.wav,4,"['7729', '8455', '121', '2961']"
data\clips_aug\overlay_55025.wav,data\clips_aug\overlay_43166.wav,data\clips_libricss\OV20_session5_clip400.wav,4,"['2094', '3575', '8224', '2961']"
data\clips_aug\overlay_55026.wav,data\clips_aug\overlay_28405.wav,data\clips_libricss\OV40_session1_clip240.wav,4,"['8463', '2830', '4077', '7021']"
data\clips_aug\overlay_55027.wav,data\clips_aug\overlay_44233.wav,data\clips_libricss\OV20_session1_clip80.wav,4,"['4077', '1221', '8463', '1320']"
data\clips_aug\overlay_55028.wav,data\clips_aug\overlay_27175.wav,data\clips_libricss\OV20_session0_clip235.wav,4,"['8224', '3575', '121', '4970']"
data\clips_aug\overlay_55029.wav,data\clips_aug\overlay_25378.wav,data\clips_libricss\OV20_session5_clip587.wav,4,"['3729', '2300', '7729', '3575']"
data\clips_aug\overlay_55030.wav,data\clips_aug\overlay_39683.wav,data\clips_libricss\OV20_session5_clip268.wav,4,"['5639', '7021', '3729', '2961']"
data\clips_aug\overlay_55031.wav,data\clips_aug\overlay_22486.wav,data\clips_libricss\OV10_session6_clip33.wav,4,"['7021', '1188', '8230', '1089']"
data\clips_aug\overlay_55032.wav,data\clips_aug\overlay_25240.wav,data\clips_libricss\OV10_session8_clip158.wav,4,"['1995', '4970', '7021', '4077']"
data\clips_aug\overlay_55033.wav,data\clips_aug\overlay_27539.wav,data\clips_libricss\OV20_session3_clip117.wav,4,"['1221', '4077', '3729', '260']"
data\clips_aug\overlay_55034.wav,data\clips_aug\overlay_43357.wav,data\clips_libricss\OV40_session7_clip593.wav,4,"['7021', '1188', '8230', '8455']"
data\clips_aug\overlay_55035.wav,data\clips_aug\overlay_25031.wav,data\clips_libricss\OV20_session3_clip486.wav,4,"['2830', '6930', '672', '7729']"
data\clips_aug\overlay_55036.wav,data\clips_aug\overlay_29342.wav,data\clips_libricss\OV30_session0_clip326.wav,4,"['8224', '8463', '4077', '7021']"
data\clips_aug\overlay_55037.wav,data\clips_aug\overlay_27447.wav,data\clips_libricss\OV40_session0_clip143.wav,4,"['1188', '3575', '8555', '1320']"
data\clips_aug\overlay_55038.wav,data\clips_aug\overlay_29981.wav,data\clips_libricss\OV30_session5_clip366.wav,4,"['7127', '6930', '1320', '1089']"
data\clips_aug\overlay_55039.wav,data\clips_aug\overlay_42104.wav,data\clips_libricss\OV30_session0_clip66.wav,4,"['121', '8230', '8224', '2961']"
data\clips_aug\overlay_55040.wav,data\clips_aug\overlay_35147.wav,data\clips_libricss\0S_session6_clip43.wav,4,"['3570', '2961', '1089', '4970']"
data\clips_aug\overlay_55041.wav,data\clips_aug\overlay_25744.wav,data\clips_libricss\OV20_session4_clip597.wav,4,"['4507', '1284', '8224', '3729']"
data\clips_aug\overlay_55042.wav,data\clips_aug\overlay_24758.wav,data\clips_libricss\OV20_session8_clip580.wav,4,"['8463', '237', '2300', '7127']"
data\clips_aug\overlay_55043.wav,data\clips_aug\overlay_40045.wav,data\clips_libricss\0S_session5_clip102.wav,4,"['8463', '4970', '1221', '2300']"
data\clips_aug\overlay_55044.wav,data\clips_aug\overlay_41572.wav,data\clips_libricss\0L_session9_clip128.wav,4,"['4446', '3575', '1089', '260']"
data\clips_aug\overlay_55045.wav,data\clips_aug\overlay_20274.wav,data\clips_libricss\OV30_session5_clip158.wav,4,"['2830', '6829', '8224', '1089']"
data\clips_aug\overlay_55046.wav,data\clips_aug\overlay_29934.wav,data\clips_libricss\OV10_session8_clip249.wav,4,"['237', '61', '6930', '2300']"
data\clips_aug\overlay_55047.wav,data\clips_aug\overlay_21828.wav,data\clips_libricss\0S_session9_clip200.wav,4,"['1580', '1188', '2961', '672']"
data\clips_aug\overlay_55048.wav,data\clips_aug\overlay_25326.wav,data\clips_libricss\OV10_session6_clip424.wav,4,"['7127', '1284', '6829', '1089']"
data\clips_aug\overlay_55049.wav,data\clips_aug\overlay_25774.wav,data\clips_libricss\0S_session4_clip237.wav,4,"['8224', '908', '4077', '1188']"
data\clips_aug\overlay_55050.wav,data\clips_aug\overlay_38111.wav,data\clips_libricss\OV10_session6_clip529.wav,4,"['3729', '2830', '7729', '4446']"
data\clips_aug\overlay_55051.wav,data\clips_aug\overlay_25835.wav,data\clips_libricss\0S_session3_clip162.wav,4,"['7127', '6829', '8463', '1320']"
data\clips_aug\overlay_55052.wav,data\clips_aug\overlay_22361.wav,data\clips_libricss\OV10_session3_clip263.wav,4,"['237', '8555', '7729', '8224']"
data\clips_aug\overlay_55053.wav,data\clips_aug\overlay_42649.wav,data\clips_libricss\OV30_session7_clip335.wav,4,"['2300', '7729', '8224', '1089']"
data\clips_aug\overlay_55054.wav,data\clips_aug\overlay_25705.wav,data\clips_libricss\OV40_session3_clip34.wav,4,"['8224', '8463', '7729', '7127']"
data\clips_aug\overlay_55055.wav,data\clips_aug\overlay_41758.wav,data\clips_libricss\OV20_session2_clip213.wav,4,"['5105', '1188', '1995', '8230']"
data\clips_aug\overlay_55056.wav,data\clips_aug\overlay_23910.wav,data\clips_libricss\OV20_session5_clip86.wav,4,"['3570', '4970', '5683', '61']"
data\clips_aug\overlay_55057.wav,data\clips_aug\overlay_31043.wav,data\clips_libricss\OV20_session6_clip304.wav,4,"['5105', '6930', '7729', '7176']"
data\clips_aug\overlay_55058.wav,data\clips_aug\overlay_28605.wav,data\clips_libricss\OV40_session1_clip290.wav,4,"['8463', '7176', '1320', '121']"
