clip_dir,clip_1,clip_2,speaker_count,speakers
data\clips_aug\overlay_1.wav,data\clips_libricss\OV20_session5_clip473.wav,data\clips_libricss\0L_session0_clip3.wav,2,"['2961', '6930']"
data\clips_aug\overlay_2.wav,data\clips_libricss\0S_session7_clip337.wav,data\clips_libricss\0L_session8_clip283.wav,2,"['3729', '908']"
data\clips_aug\overlay_3.wav,data\clips_libricss\OV40_session2_clip371.wav,data\clips_libricss\0S_session3_clip432.wav,2,"['6930', '5105']"
data\clips_aug\overlay_4.wav,data\clips_libricss\0S_session5_clip496.wav,data\clips_libricss\OV40_session8_clip282.wav,2,"['2300', '4970']"
data\clips_aug\overlay_5.wav,data\clips_libricss\0L_session4_clip495.wav,data\clips_libricss\OV10_session5_clip64.wav,2,"['2961', '4507']"
data\clips_aug\overlay_6.wav,data\clips_libricss\0S_session5_clip26.wav,data\clips_libricss\OV10_session7_clip169.wav,2,"['237', '1221']"
data\clips_aug\overlay_7.wav,data\clips_libricss\OV10_session5_clip232.wav,data\clips_libricss\OV30_session4_clip460.wav,2,"['3729', '260']"
data\clips_aug\overlay_8.wav,data\clips_libricss\OV10_session5_clip114.wav,data\clips_libricss\OV10_session0_clip412.wav,2,"['3575', '8455']"
data\clips_aug\overlay_9.wav,data\clips_libricss\0L_session7_clip500.wav,data\clips_libricss\OV20_session4_clip249.wav,2,"['8230', '5105']"
data\clips_aug\overlay_10.wav,data\clips_libricss\0S_session0_clip495.wav,data\clips_libricss\OV40_session2_clip543.wav,2,"['4992', '1188']"
data\clips_aug\overlay_11.wav,data\clips_libricss\OV10_session0_clip456.wav,data\clips_libricss\0L_session5_clip529.wav,2,"['4992', '8455']"
data\clips_aug\overlay_12.wav,data\clips_libricss\OV10_session7_clip386.wav,data\clips_libricss\0S_session3_clip480.wav,2,"['1221', '6829']"
data\clips_aug\overlay_13.wav,data\clips_libricss\0S_session1_clip192.wav,data\clips_libricss\OV20_session4_clip514.wav,2,"['8555', '5105']"
data\clips_aug\overlay_14.wav,data\clips_libricss\0L_session8_clip326.wav,data\clips_libricss\OV40_session3_clip447.wav,2,"['5142', '5105']"
data\clips_aug\overlay_15.wav,data\clips_libricss\OV20_session8_clip48.wav,data\clips_libricss\OV10_session6_clip306.wav,2,"['672', '4446']"
data\clips_aug\overlay_16.wav,data\clips_libricss\0S_session1_clip496.wav,data\clips_libricss\0S_session6_clip57.wav,2,"['121', '3729']"
data\clips_aug\overlay_17.wav,data\clips_libricss\OV10_session7_clip112.wav,data\clips_libricss\0L_session6_clip207.wav,2,"['121', '1188']"
data\clips_aug\overlay_18.wav,data\clips_libricss\0S_session9_clip402.wav,data\clips_libricss\OV10_session8_clip196.wav,2,"['7729', '4446']"
data\clips_aug\overlay_19.wav,data\clips_libricss\OV30_session4_clip435.wav,data\clips_libricss\OV30_session6_clip564.wav,2,"['121', '237']"
data\clips_aug\overlay_20.wav,data\clips_libricss\0S_session3_clip414.wav,data\clips_libricss\OV20_session6_clip281.wav,2,"['6829', '8224']"
data\clips_aug\overlay_21.wav,data\clips_libricss\OV30_session5_clip137.wav,data\clips_libricss\OV30_session0_clip396.wav,2,"['8224', '2961']"
data\clips_aug\overlay_22.wav,data\clips_libricss\OV20_session2_clip209.wav,data\clips_libricss\OV10_session4_clip371.wav,2,"['8230', '8224']"
data\clips_aug\overlay_23.wav,data\clips_libricss\0L_session0_clip81.wav,data\clips_libricss\0L_session9_clip595.wav,2,"['260', '1188']"
