clip_dir,clip_1,clip_2,speaker_count,speakers
data\clips_aug\overlay_62501.wav,data\clips_aug\overlay_32553.wav,data\clips_aug\overlay_3085.wav,5,"['8224', '1188', '2830', '5639', '5105']"
data\clips_aug\overlay_62502.wav,data\clips_aug\overlay_44658.wav,data\clips_libricss\OV30_session6_clip337.wav,5,"['672', '7176', '2300', '5683', '908']"
data\clips_aug\overlay_62503.wav,data\clips_aug\overlay_26860.wav,data\clips_aug\overlay_7584.wav,5,"['3575', '2830', '8224', '1188', '4077']"
data\clips_aug\overlay_62504.wav,data\clips_aug\overlay_43523.wav,data\clips_aug\overlay_5638.wav,5,"['908', '61', '5142', '672', '7127']"
data\clips_aug\overlay_62505.wav,data\clips_aug\overlay_42045.wav,data\clips_aug\overlay_11598.wav,5,"['4970', '3570', '1188', '260', '7176']"
data\clips_aug\overlay_62506.wav,data\clips_aug\overlay_25252.wav,data\clips_libricss\OV20_session4_clip413.wav,5,"['4077', '908', '121', '3729', '1580']"
data\clips_aug\overlay_62507.wav,data\clips_aug\overlay_34020.wav,data\clips_aug\overlay_9832.wav,5,"['6829', '8224', '672', '7127', '3729']"
data\clips_aug\overlay_62508.wav,data\clips_aug\overlay_34698.wav,data\clips_aug\overlay_13494.wav,5,"['7729', '260', '3729', '1188', '672']"
data\clips_aug\overlay_62509.wav,data\clips_aug\overlay_30365.wav,data\clips_aug\overlay_7207.wav,5,"['908', '2961', '8230', '4077', '2300']"
data\clips_aug\overlay_62510.wav,data\clips_aug\overlay_30620.wav,data\clips_libricss\0S_session5_clip579.wav,5,"['2300', '8230', '7021', '237', '4970']"
data\clips_aug\overlay_62511.wav,data\clips_aug\overlay_35741.wav,data\clips_libricss\OV40_session7_clip553.wav,5,"['4992', '3570', '7729', '8230', '1580']"
data\clips_aug\overlay_62512.wav,data\clips_aug\overlay_35821.wav,data\clips_aug\overlay_18065.wav,5,"['260', '4992', '8463', '672', '5105']"
data\clips_aug\overlay_62513.wav,data\clips_aug\overlay_25947.wav,data\clips_aug\overlay_19448.wav,5,"['7127', '4970', '7021', '1580', '1089']"
data\clips_aug\overlay_62514.wav,data\clips_aug\overlay_44624.wav,data\clips_aug\overlay_914.wav,5,"['5105', '4970', '1320', '260', '6930']"
data\clips_aug\overlay_62515.wav,data\clips_aug\overlay_22007.wav,data\clips_aug\overlay_8345.wav,5,"['6930', '1284', '2094', '8224', '4507']"
data\clips_aug\overlay_62516.wav,data\clips_aug\overlay_21150.wav,data\clips_aug\overlay_12301.wav,5,"['3729', '4077', '4507', '4970', '7127']"
data\clips_aug\overlay_62517.wav,data\clips_aug\overlay_28513.wav,data\clips_aug\overlay_4126.wav,5,"['1284', '3575', '121', '2094', '908']"
data\clips_aug\overlay_62518.wav,data\clips_aug\overlay_30438.wav,data\clips_aug\overlay_13524.wav,5,"['1320', '8463', '5105', '8224', '8455']"
data\clips_aug\overlay_62519.wav,data\clips_aug\overlay_28433.wav,data\clips_aug\overlay_16992.wav,5,"['121', '2300', '2961', '672', '237']"
data\clips_aug\overlay_62520.wav,data\clips_aug\overlay_26455.wav,data\clips_aug\overlay_4473.wav,5,"['6829', '4970', '3729', '1089', '1284']"
data\clips_aug\overlay_62521.wav,data\clips_aug\overlay_38942.wav,data\clips_aug\overlay_2550.wav,5,"['1995', '8224', '6829', '7127', '1221']"
data\clips_aug\overlay_62522.wav,data\clips_aug\overlay_35918.wav,data\clips_aug\overlay_4534.wav,5,"['8463', '3729', '1089', '4077', '1995']"
data\clips_aug\overlay_62523.wav,data\clips_aug\overlay_21837.wav,data\clips_aug\overlay_1181.wav,5,"['260', '1089', '1995', '3575', '8463']"
data\clips_aug\overlay_62524.wav,data\clips_aug\overlay_20144.wav,data\clips_aug\overlay_19887.wav,5,"['7729', '672', '6930', '4077', '5105']"
data\clips_aug\overlay_62525.wav,data\clips_aug\overlay_42226.wav,data\clips_aug\overlay_15090.wav,5,"['7176', '7729', '4507', '2094', '3729']"
data\clips_aug\overlay_62526.wav,data\clips_aug\overlay_24232.wav,data\clips_libricss\OV40_session9_clip549.wav,5,"['6930', '672', '1188', '8224', '1284']"
data\clips_aug\overlay_62527.wav,data\clips_aug\overlay_26827.wav,data\clips_libricss\OV20_session4_clip34.wav,5,"['237', '4507', '8455', '3729', '2830']"
data\clips_aug\overlay_62528.wav,data\clips_aug\overlay_30581.wav,data\clips_libricss\OV30_session6_clip451.wav,5,"['1320', '8463', '2830', '908', '237']"
data\clips_aug\overlay_62529.wav,data\clips_aug\overlay_36828.wav,data\clips_aug\overlay_15464.wav,5,"['3575', '8224', '1188', '8455', '7021']"
data\clips_aug\overlay_62530.wav,data\clips_aug\overlay_23368.wav,data\clips_aug\overlay_10966.wav,5,"['5639', '8463', '908', '1188', '8230']"
data\clips_aug\overlay_62531.wav,data\clips_aug\overlay_26726.wav,data\clips_aug\overlay_2627.wav,5,"['7127', '4992', '3729', '5105', '8455']"
