clip_dir,clip_1,clip_2,speaker_count,speakers
data\clips_aug\overlay_20001.wav,data\clips_aug\overlay_4047.wav,data\clips_libricss\OV30_session2_clip347.wav,3,"['8230', '8463', '3575']"
data\clips_aug\overlay_20002.wav,data\clips_aug\overlay_1679.wav,data\clips_libricss\OV30_session4_clip334.wav,3,"['8230', '121', '5683']"
data\clips_aug\overlay_20003.wav,data\clips_aug\overlay_943.wav,data\clips_libricss\0S_session7_clip442.wav,3,"['3575', '6930', '3729']"
data\clips_aug\overlay_20004.wav,data\clips_aug\overlay_7539.wav,data\clips_libricss\OV40_session9_clip575.wav,3,"['1284', '3570', '8463']"
data\clips_aug\overlay_20005.wav,data\clips_aug\overlay_6201.wav,data\clips_libricss\OV20_session9_clip150.wav,3,"['8230', '4507', '7729']"
data\clips_aug\overlay_20006.wav,data\clips_aug\overlay_9971.wav,data\clips_libricss\OV30_session7_clip373.wav,3,"['3575', '1221', '1188']"
data\clips_aug\overlay_20007.wav,data\clips_aug\overlay_6193.wav,data\clips_libricss\0S_session1_clip203.wav,3,"['3570', '4077', '8555']"
data\clips_aug\overlay_20008.wav,data\clips_libricss\OV10_session5_clip169.wav,data\clips_libricss\OV30_session0_clip33.wav,3,"['6930', '3575', '1089']"
data\clips_aug\overlay_20009.wav,data\clips_libricss\OV20_session5_clip493.wav,data\clips_libricss\0L_session0_clip179.wav,3,"['2961', '1089', '5105']"
data\clips_aug\overlay_20010.wav,data\clips_libricss\OV10_session4_clip109.wav,data\clips_libricss\OV10_session5_clip152.wav,3,"['7021', '1188', '672']"
data\clips_aug\overlay_20011.wav,data\clips_aug\overlay_17847.wav,data\clips_libricss\0S_session3_clip437.wav,3,"['1320', '3575', '1089']"
data\clips_aug\overlay_20012.wav,data\clips_libricss\OV10_session3_clip50.wav,data\clips_libricss\0S_session9_clip129.wav,3,"['1580', '3575', '7729']"
data\clips_aug\overlay_20013.wav,data\clips_aug\overlay_8663.wav,data\clips_libricss\0S_session0_clip496.wav,3,"['8463', '3575', '4992']"
data\clips_aug\overlay_20014.wav,data\clips_libricss\OV10_session3_clip171.wav,data\clips_libricss\OV30_session7_clip319.wav,3,"['7729', '1580', '1188']"
data\clips_aug\overlay_20015.wav,data\clips_aug\overlay_223.wav,data\clips_libricss\0S_session5_clip568.wav,3,"['1320', '8463', '2300']"
data\clips_aug\overlay_20016.wav,data\clips_aug\overlay_16469.wav,data\clips_libricss\OV40_session7_clip389.wav,3,"['8455', '8230', '1221']"
data\clips_aug\overlay_20017.wav,data\clips_aug\overlay_7607.wav,data\clips_libricss\0S_session8_clip118.wav,3,"['1188', '8555', '7127']"
data\clips_aug\overlay_20018.wav,data\clips_libricss\OV40_session4_clip277.wav,data\clips_libricss\OV30_session3_clip163.wav,3,"['8555', '3729', '7729']"
data\clips_aug\overlay_20019.wav,data\clips_aug\overlay_17284.wav,data\clips_libricss\OV30_session5_clip451.wav,3,"['4077', '8555', '3729']"
data\clips_aug\overlay_20020.wav,data\clips_aug\overlay_5787.wav,data\clips_libricss\0S_session4_clip321.wav,3,"['7729', '121', '672']"
data\clips_aug\overlay_20021.wav,data\clips_aug\overlay_2604.wav,data\clips_libricss\OV30_session0_clip289.wav,3,"['4077', '4507', '1995']"
data\clips_aug\overlay_20022.wav,data\clips_aug\overlay_17386.wav,data\clips_libricss\0L_session3_clip33.wav,3,"['4507', '3729', '7021']"
data\clips_aug\overlay_20023.wav,data\clips_libricss\OV30_session5_clip279.wav,data\clips_libricss\OV20_session0_clip508.wav,3,"['908', '1089', '1284']"
data\clips_aug\overlay_20024.wav,data\clips_aug\overlay_9346.wav,data\clips_libricss\OV10_session7_clip416.wav,3,"['2094', '1320', '1995']"
data\clips_aug\overlay_20025.wav,data\clips_aug\overlay_9090.wav,data\clips_libricss\OV30_session3_clip120.wav,3,"['1188', '7176', '2094']"
data\clips_aug\overlay_20026.wav,data\clips_libricss\OV20_session2_clip464.wav,data\clips_libricss\OV30_session5_clip426.wav,3,"['8230', '5639', '908']"
data\clips_aug\overlay_20027.wav,data\clips_aug\overlay_6862.wav,data\clips_libricss\0L_session9_clip293.wav,3,"['121', '8455', '672']"
data\clips_aug\overlay_20028.wav,data\clips_aug\overlay_16057.wav,data\clips_libricss\OV10_session6_clip477.wav,3,"['4077', '2830', '1320']"
data\clips_aug\overlay_20029.wav,data\clips_aug\overlay_15421.wav,data\clips_libricss\OV20_session6_clip80.wav,3,"['3575', '1089', '8463']"
data\clips_aug\overlay_20030.wav,data\clips_aug\overlay_8658.wav,data\clips_libricss\0S_session2_clip215.wav,3,"['1995', '5639', '7729']"
data\clips_aug\overlay_20031.wav,data\clips_aug\overlay_13145.wav,data\clips_libricss\OV20_session0_clip378.wav,3,"['8224', '8230', '8555']"
data\clips_aug\overlay_20032.wav,data\clips_aug\overlay_14401.wav,data\clips_libricss\OV10_session0_clip488.wav,3,"['4507', '1284', '8463']"
data\clips_aug\overlay_20033.wav,data\clips_aug\overlay_18468.wav,data\clips_libricss\OV10_session2_clip44.wav,3,"['3570', '1089', '1188']"
data\clips_aug\overlay_20034.wav,data\clips_aug\overlay_1105.wav,data\clips_libricss\0L_session7_clip21.wav,3,"['8224', '6930', '4077']"
data\clips_aug\overlay_20035.wav,data\clips_aug\overlay_681.wav,data\clips_libricss\OV10_session7_clip347.wav,3,"['8230', '4970', '1995']"
data\clips_aug\overlay_20036.wav,data\clips_aug\overlay_13332.wav,data\clips_libricss\0L_session2_clip395.wav,3,"['4077', '8224', '7021']"
data\clips_aug\overlay_20037.wav,data\clips_aug\overlay_11428.wav,data\clips_libricss\OV40_session5_clip165.wav,3,"['2094', '7729', '1284']"
data\clips_aug\overlay_20038.wav,data\clips_aug\overlay_17455.wav,data\clips_libricss\OV30_session7_clip541.wav,3,"['7729', '3575', '1089']"
data\clips_aug\overlay_20039.wav,data\clips_aug\overlay_13459.wav,data\clips_libricss\0L_session7_clip120.wav,3,"['4077', '3729', '908']"
data\clips_aug\overlay_20040.wav,data\clips_libricss\OV30_session2_clip294.wav,data\clips_libricss\0S_session8_clip313.wav,3,"['4507', '8224', '5639']"
data\clips_aug\overlay_20041.wav,data\clips_libricss\OV30_session6_clip107.wav,data\clips_libricss\OV10_session3_clip258.wav,3,"['5683', '908', '8224']"
data\clips_aug\overlay_20042.wav,data\clips_aug\overlay_4800.wav,data\clips_libricss\0L_session7_clip573.wav,3,"['8555', '1188', '8230']"
data\clips_aug\overlay_20043.wav,data\clips_libricss\OV40_session7_clip198.wav,data\clips_libricss\0S_session8_clip65.wav,3,"['8230', '7021', '1995']"
data\clips_aug\overlay_20044.wav,data\clips_aug\overlay_4416.wav,data\clips_libricss\0L_session8_clip226.wav,3,"['8230', '1995', '672']"
data\clips_aug\overlay_20045.wav,data\clips_aug\overlay_19700.wav,data\clips_libricss\0S_session1_clip83.wav,3,"['4077', '7729', '5105']"
data\clips_aug\overlay_20046.wav,data\clips_aug\overlay_8940.wav,data\clips_libricss\OV30_session6_clip164.wav,3,"['3575', '1089', '6829']"
data\clips_aug\overlay_20047.wav,data\clips_aug\overlay_441.wav,data\clips_libricss\0S_session8_clip257.wav,3,"['3575', '7729', '3570']"
data\clips_aug\overlay_20048.wav,data\clips_aug\overlay_12488.wav,data\clips_libricss\0S_session4_clip190.wav,3,"['3570', '2961', '672']"
data\clips_aug\overlay_20049.wav,data\clips_aug\overlay_2215.wav,data\clips_libricss\OV20_session6_clip41.wav,3,"['8555', '1320', '5105']"
data\clips_aug\overlay_20050.wav,data\clips_aug\overlay_10768.wav,data\clips_libricss\OV30_session1_clip146.wav,3,"['1188', '7729', '3575']"
data\clips_aug\overlay_20051.wav,data\clips_aug\overlay_13125.wav,data\clips_libricss\OV20_session7_clip455.wav,3,"['121', '3575', '4992']"
data\clips_aug\overlay_20052.wav,data\clips_aug\overlay_5919.wav,data\clips_libricss\0S_session3_clip30.wav,3,"['2300', '8455', '5105']"
data\clips_aug\overlay_20053.wav,data\clips_libricss\OV30_session2_clip64.wav,data\clips_libricss\OV20_session1_clip235.wav,3,"['1995', '5639', '5142']"
data\clips_aug\overlay_20054.wav,data\clips_aug\overlay_3661.wav,data\clips_libricss\OV40_session5_clip156.wav,3,"['1320', '2830', '2961']"
data\clips_aug\overlay_20055.wav,data\clips_libricss\OV40_session1_clip313.wav,data\clips_libricss\0L_session9_clip135.wav,3,"['4446', '7021', '260']"
data\clips_aug\overlay_20056.wav,data\clips_libricss\OV10_session1_clip546.wav,data\clips_libricss\OV30_session7_clip244.wav,3,"['8463', '1188', '1089']"
data\clips_aug\overlay_20057.wav,data\clips_libricss\OV30_session3_clip181.wav,data\clips_libricss\0L_session5_clip465.wav,3,"['7729', '4446', '7021']"
data\clips_aug\overlay_20058.wav,data\clips_aug\overlay_4566.wav,data\clips_libricss\0S_session2_clip162.wav,3,"['4507', '3729', '4970']"
data\clips_aug\overlay_20059.wav,data\clips_aug\overlay_17889.wav,data\clips_libricss\0L_session7_clip531.wav,3,"['4077', '3729', '4992']"
data\clips_aug\overlay_20060.wav,data\clips_aug\overlay_7418.wav,data\clips_libricss\OV40_session9_clip237.wav,3,"['2094', '8455', '4077']"
data\clips_aug\overlay_20061.wav,data\clips_aug\overlay_4708.wav,data\clips_libricss\OV10_session0_clip470.wav,3,"['7127', '4507', '672']"
data\clips_aug\overlay_20062.wav,data\clips_aug\overlay_19943.wav,data\clips_libricss\0S_session9_clip501.wav,3,"['672', '1089', '7729']"
data\clips_aug\overlay_20063.wav,data\clips_aug\overlay_5674.wav,data\clips_libricss\OV20_session3_clip326.wav,3,"['3729', '8224', '260']"
