clip_dir,clip_1,clip_2,speaker_count,speakers
data\clips_aug\overlay_17501.wav,data\author_data\clips_real\Recording_upstairs4_clip5127.wav,data\clips_libricss\0S_session9_clip272.wav,2,"['6930', '61']"
data\clips_aug\overlay_17502.wav,data\author_data\clips_real\Recording_upstairs4_clip2478.wav,data\clips_libricss\OV30_session3_clip435.wav,2,"['7729', '3575']"
data\clips_aug\overlay_17503.wav,data\author_data\clips_real\Recording_upstairs4_clip2114.wav,data\clips_libricss\OV40_session9_clip587.wav,2,"['8463', '3575']"
data\clips_aug\overlay_17504.wav,data\clips_libricss\0L_session5_clip333.wav,data\clips_libricss\OV20_session0_clip408.wav,2,"['7127', '4970']"
data\clips_aug\overlay_17505.wav,data\author_data\clips_real\Recording_downstairs1_clip883.wav,data\clips_libricss\OV40_session2_clip43.wav,2,"['6930', '8224']"
data\clips_aug\overlay_17506.wav,data\clips_rir\smallroom1_5_clip6.wav,data\clips_libricss\OV30_session0_clip126.wav,2,"['1995', '2830']"
data\clips_aug\overlay_17507.wav,data\author_data\clips_real\Recording_downstairs1_clip719.wav,data\clips_libricss\OV20_session8_clip426.wav,2,"['8230', '8224']"
data\clips_aug\overlay_17508.wav,data\author_data\clips_real\Recording_upstairs2_clip337.wav,data\clips_libricss\OV40_session2_clip394.wav,2,"['260', '1320']"
data\clips_aug\overlay_17509.wav,data\author_data\clips_real\Recording_upstairs4_clip1560.wav,data\clips_libricss\OV40_session3_clip556.wav,2,"['4077', '1580']"
data\clips_aug\overlay_17510.wav,data\clips_rir\simroom1_7_clip21.wav,data\clips_libricss\OV30_session0_clip206.wav,2,"['237', '1089']"
data\clips_aug\overlay_17511.wav,data\author_data\clips_real\Recording_upstairs4_clip5367.wav,data\clips_libricss\OV40_session5_clip109.wav,2,"['4077', '237']"
data\clips_aug\overlay_17512.wav,data\author_data\clips_real\Recording_upstairs4_clip730.wav,data\clips_libricss\OV40_session7_clip300.wav,2,"['1221', '8455']"
data\clips_aug\overlay_17513.wav,data\author_data\clips_real\Recording_downstairs1_clip1037.wav,data\clips_libricss\OV30_session2_clip10.wav,2,"['1995', '4507']"
data\clips_aug\overlay_17514.wav,data\author_data\clips_real\Recording_upstairs4_clip2197.wav,data\clips_libricss\OV30_session6_clip144.wav,2,"['237', '8555']"
data\clips_aug\overlay_17515.wav,data\clips_rir\simroom3_9_clip5.wav,data\clips_libricss\OV20_session9_clip256.wav,2,"['7729', '5639']"
data\clips_aug\overlay_17516.wav,data\author_data\clips_real\Recording_upstairs4_clip5395.wav,data\clips_libricss\0S_session2_clip262.wav,2,"['4970', '5639']"
data\clips_aug\overlay_17517.wav,data\author_data\clips_real\Recording_upstairs4_clip3141.wav,data\clips_libricss\OV30_session8_clip594.wav,2,"['7021', '1188']"
data\clips_aug\overlay_17518.wav,data\clips_rir\smallroom1_4_clip29.wav,data\clips_libricss\OV30_session1_clip240.wav,2,"['8230', '1580']"
data\clips_aug\overlay_17519.wav,data\clips_rir\mediumroom2_1_clip17.wav,data\clips_libricss\OV30_session9_clip283.wav,2,"['7176', '61']"
data\clips_aug\overlay_17520.wav,data\clips_rir\largeroom1_4_clip30.wav,data\clips_libricss\OV40_session4_clip195.wav,2,"['4077', '3729']"
data\clips_aug\overlay_17521.wav,data\clips_rir\largeroom2_4_clip27.wav,data\clips_libricss\OV20_session5_clip200.wav,2,"['3570', '3575']"
data\clips_aug\overlay_17522.wav,data\author_data\clips_real\Recording_downstairs2_clip62.wav,data\clips_libricss\OV40_session0_clip551.wav,2,"['7729', '2830']"
data\clips_aug\overlay_17523.wav,data\author_data\clips_real\Recording_downstairs1_clip26.wav,data\clips_libricss\OV30_session8_clip72.wav,2,"['4970', '1284']"
data\clips_aug\overlay_17524.wav,data\author_data\clips_real\Recording_upstairs4_clip3657.wav,data\clips_libricss\OV10_session0_clip402.wav,2,"['1995', '4992']"
data\clips_aug\overlay_17525.wav,data\author_data\clips_real\Recording_upstairs4_clip912.wav,data\clips_libricss\OV10_session0_clip134.wav,2,"['672', '260']"
data\clips_aug\overlay_17526.wav,data\author_data\clips_real\Recording_upstairs4_clip2577.wav,data\clips_libricss\OV30_session3_clip596.wav,2,"['2094', '7729']"
data\clips_aug\overlay_17527.wav,data\clips_rir\mediumroom2_7_clip7.wav,data\clips_libricss\OV40_session4_clip14.wav,2,"['121', '3729']"
data\clips_aug\overlay_17528.wav,data\clips_rir\smallroom2_10_clip15.wav,data\clips_libricss\OV30_session4_clip573.wav,2,"['5683', '260']"
data\clips_aug\overlay_17529.wav,data\clips_libricss\0L_session0_clip206.wav,data\clips_libricss\OV40_session3_clip82.wav,2,"['4077', '1320']"
data\clips_aug\overlay_17530.wav,data\author_data\clips_real\Recording_upstairs4_clip1179.wav,data\clips_libricss\OV10_session8_clip591.wav,2,"['7176', '4446']"
data\clips_aug\overlay_17531.wav,data\clips_libricss\0L_session9_clip88.wav,data\clips_libricss\OV20_session1_clip185.wav,2,"['1089', '5142']"
